hjd,camera,mag,mag_err,flux,flux_err
2456535.08181,bb,16.169,0.09253,1.307,0.111
2456884.98577,bb,15.641,0.06352,2.125,0.124
2457354.71764,bb,16.226,0.09616,1.24,0.11
2457735.8204,bb,16.157,0.09178,1.321,0.112
2457390.75869,bb,16.247,0.09752,1.216,0.109
2457333.92774,bb,16.221,0.09584,1.246,0.11
2457941.01377,bb,16.227,0.09623,1.24,0.11
2457212.10856,bb,15.207,0.04644,3.172,0.136
2456448.09627,bb,15.74,0.06827,1.94,0.122
2457550.06556,bb,16.189,0.09379,1.284,0.111
2458027.00724,bb,15.283,0.04901,2.955,0.133
2456874.91419,bb,15.531,0.05862,2.352,0.127
2458071.78095,bb,15.124,0.04382,3.424,0.138
2456896.96692,bb,16.254,0.09798,1.209,0.109
2457544.08288,bb,16.255,0.09804,1.208,0.109
2458325.94129,bb,15.583,0.06089,2.242,0.126
2456895.97236,bb,16.265,0.09869,1.196,0.109
2456444.09529,bb,16.292,0.10047,1.167,0.108
2456899.95902,bb,15.955,0.07971,1.593,0.117
2457284.99777,bb,16.211,0.0952,1.257,0.11
2456805.11512,bb,15.273,0.04866,2.984,0.134
2456532.96787,bb,15.902,0.07675,1.671,0.118
2458310.09109,bb,16.335,0.10332,1.122,0.107
2457587.0702,bb,16.254,0.09798,1.208,0.109
2456452.06076,bb,16.204,0.09475,1.265,0.11
2457223.04965,bb,16.241,0.09713,1.223,0.109
2457757.7368,bb,15.65,0.06394,2.109,0.124
2457669.89571,bb,15.186,0.04576,3.233,0.136
2458412.81276,bb,15.844,0.07361,1.763,0.119
2456863.02493,bb,16.039,0.08458,1.473,0.115
2457290.94961,bb,16.559,0.11869,0.912,0.1
2456574.89643,bb,16.38,0.10635,1.077,0.105
2456464.0521,bb,16.068,0.08631,1.434,0.114
2456233.78984,bb,15.977,0.08096,1.56,0.116
2456510.96316,bb,15.907,0.07702,1.664,0.118
2456471.02118,bb,16.326,0.10272,1.131,0.107
2458307.08174,bb,16.102,0.08837,1.391,0.113
2457181.09863,bb,15.774,0.06998,1.882,0.121
2456820.07821,bb,16.17,0.09259,1.306,0.111
2456835.0528,bb,16.455,0.11147,1.005,0.103
2457526.11431,bb,16.164,0.09222,1.314,0.111
2456855.03509,bb,15.505,0.05752,2.41,0.128
2457667.9957,bb,16.117,0.08929,1.371,0.113
2456909.94571,bb,15.451,0.05531,2.532,0.129
2457316.87864,bb,16.204,0.09475,1.265,0.11
2457576.10237,bb,15.087,0.04272,3.539,0.139
2457680.91283,bb,16.442,0.11058,1.016,0.103
2457206.03364,bb,16.318,0.10219,1.14,0.107
2458070.78885,bb,16.385,0.10669,1.072,0.105
2457172.10147,bb,16.071,0.08649,1.431,0.114
2458037.9698,bb,16.413,0.10859,1.044,0.104
2458377.79556,bb,16.089,0.08758,1.407,0.113
2457989.05608,bb,16.276,0.09941,1.184,0.108
2456788.11859,bb,15.532,0.05866,2.351,0.127
2456891.97672,bb,15.283,0.04901,2.957,0.133
2457243.98303,bb,15.371,0.0522,2.725,0.131
2456928.91443,bb,15.168,0.04519,3.286,0.137
2457737.76966,bb,15.283,0.04901,2.955,0.133
2457023.77339,bb,15.987,0.08154,1.546,0.116
2458048.82,bb,15.932,0.07841,1.626,0.117
2456915.07495,bb,15.284,0.04904,2.954,0.133
2456970.90998,bb,15.688,0.06573,2.036,0.123
2456881.98338,bb,16.205,0.09481,1.264,0.11
2458289.07607,bb,16.02,0.08346,1.499,0.115
2457328.94083,bb,15.195,0.04605,3.207,0.136
2458360.98636,bb,15.246,0.04774,3.058,0.134
2457688.88606,bb,15.571,0.06036,2.267,0.126
2458295.03166,bb,15.828,0.07277,1.79,0.12
2457589.9611,bb,15.106,0.04328,3.479,0.139
2457276.08656,bb,16.265,0.09869,1.196,0.109
2457969.93311,bb,16.011,0.08293,1.512,0.115
